youtube_id,content_type,title,url,playlist_raw,ip_series,collection_tags,original_content_id,is_anchor,parent_candidate,link_status,review_status
"YiSeTeveTf8","long_form","Why Stanford lecturer start investing in Education | Sergio Monsalve","https://www.youtube.com/watch?v=YiSeTeveTf8","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"e3e_fNwoN8k","long_form","The most valuable lesson from our defeat to Tiktok | Jungsuk Jay Lee","https://www.youtube.com/watch?v=e3e_fNwoN8k","",,"","e3e_fNwoN8k","TRUE",,"Linked","Approved"
"8Is9oJzfV6I","long_form","The Creative Methods I learned at the Best Animation Studio | We Bare Bears Daniel Chong","https://www.youtube.com/watch?v=8Is9oJzfV6I","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"yrp5ETa0kDo","long_form","How EO met these AMAZING FOUNDERS | QnA / Announcement","https://www.youtube.com/watch?v=yrp5ETa0kDo","Team EO","Team EO","",,"FALSE",,"Unassigned","Not reviewed"
"-39Yq-67MvU","long_form","How the world largest luxury group became our customer within 3 months | MarqVision","https://www.youtube.com/watch?v=-39Yq-67MvU","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"x57DYc-k81w","long_form","We helped 100m job applicants across the world | Fountain","https://www.youtube.com/watch?v=x57DYc-k81w","Founder Focused",,"Founder Focused","x57DYc-k81w","TRUE",,"Linked","Approved"
"LJgv-8oZ1CU","long_form","Unconventional Story of an Entrepreneur | Manu Kumar of K9 Ventures","https://www.youtube.com/watch?v=LJgv-8oZ1CU","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"jK6lVwp0HJE","long_form","When AI can do inspiring things except eliminate jobs | Whisper","https://www.youtube.com/watch?v=jK6lVwp0HJE","Founder Focused",,"Founder Focused","jK6lVwp0HJE","TRUE",,"Linked","Approved"
"PL9mBq2WStw","long_form","In a Failed Business, Until Building a Notion and Figma-focused Startup | Partly","https://www.youtube.com/watch?v=PL9mBq2WStw","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"oiWwyt3HVT0","long_form","How I Built Three Billion-dollar CompaniesㅣFrank Slootman, CEO at SnowFlake","https://www.youtube.com/watch?v=oiWwyt3HVT0","Over $100 Billion CEO Interviews",,"Over $100 Billion CEO Interviews",,"FALSE",,"Unassigned","Not reviewed"
"BYaP3SiofyU","long_form","How Leadership Helped Me Increase My Value 200 Times | Jina Kim (2/2)","https://www.youtube.com/watch?v=BYaP3SiofyU","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"ZSWIoJTUfn4","long_form","What It Takes to Be the 4th Employee of a Unicorn Startup | Jina Kim (1/2)","https://www.youtube.com/watch?v=ZSWIoJTUfn4","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
